"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"28/12/2018","85.469","87.887","2,84","85.469","88.044","11,32B"
"27/12/2018","85.141","85.460","0,38","84.876","85.739","9,78B"
"26/12/2018","85.684","85.136","-0,65","83.892","85.684","9,59B"
"21/12/2018","85.269","85.697","0,50","85.134","86.554","17,97B"
"20/12/2018","85.678","85.269","-0,47","84.756","86.584","16,25B"
"19/12/2018","86.617","85.674","-1,08","85.674","88.101","16,44B"
"18/12/2018","86.400","86.610","0,24","86.400","87.274","12,14B"
"17/12/2018","87.448","86.400","-1,20","86.328","87.820","17,90B"
"14/12/2018","87.838","87.450","-0,44","87.106","88.184","10,83B"
"13/12/2018","86.979","87.838","0,99","86.856","87.842","10,87B"
"12/12/2018","86.420","86.977","0,65","86.420","87.946","14,63B"
"11/12/2018","85.918","86.420","0,59","85.583","87.520","13,06B"
"10/12/2018","88.115","85.915","-2,50","85.915","88.384","12,35B"
"07/12/2018","88.849","88.122","-0,82","87.907","89.986","11,97B"
"06/12/2018","88.933","88.846","-0,22","87.025","88.933","13,96B"
"05/12/2018","88.644","89.040","0,47","88.449","89.111","8,74B"
"04/12/2018","89.820","88.624","-1,33","88.041","90.452","15,24B"
"03/12/2018","89.511","89.820","0,30","89.429","91.242","17,92B"
"30/11/2018","89.709","89.552","-0,18","89.258","90.246","18,60B"
"29/11/2018","89.249","89.710","0,51","88.475","89.910","13,36B"
"28/11/2018","87.891","89.251","1,55","87.153","89.483","16,21B"
"27/11/2018","85.547","87.891","2,74","85.377","88.018","14,67B"
"26/11/2018","86.237","85.547","-0,79","84.905","87.147","18,07B"
"23/11/2018","87.479","86.230","-1,43","85.763","87.479","12,78B"
"22/11/2018","87.269","87.477","0,24","87.222","87.656","6,97B"
"21/11/2018","87.896","87.269","-0,72","86.254","87.896","12,90B"
"19/11/2018","88.472","87.901","-0,69","87.047","88.484","18,00B"
"16/11/2018","85.975","88.515","2,96","85.975","88.516","16,31B"
"14/11/2018","84.898","85.973","1,25","84.267","85.973","16,97B"
"13/11/2018","85.531","84.914","-0,71","84.071","85.941","13,77B"
"12/11/2018","85.644","85.525","-0,14","85.009","86.227","10,65B"
"09/11/2018","85.620","85.641","0,02","84.030","86.233","15,98B"
"08/11/2018","87.719","85.620","-2,39","85.620","88.570","15,93B"
"07/11/2018","88.676","87.718","-1,07","87.541","89.565","14,45B"
"06/11/2018","89.587","88.669","-1,04","88.066","89.587","14,60B"
"05/11/2018","88.418","89.598","1,33","88.347","89.598","14,80B"
"01/11/2018","87.428","88.419","1,14","87.094","89.017","18,72B"
"31/10/2018","86.889","87.421","0,62","86.213","88.028","17,88B"
"30/10/2018","83.802","86.886","3,69","83.802","86.990","20,48B"
"29/10/2018","85.728","83.797","-2,24","82.783","88.377","24,09B"
"26/10/2018","84.084","85.720","1,95","83.497","85.720","19,42B"
